run,n_value,f_schumann_hz,f_golden_hz,latitude,longitude,depth_km,magnitude_mw,alpha_event,resonance_score,proximity_2027
33,18387.37820,8.02070,13530.49000,6.64200,-177.73900,62.00000,8.06000,7.88747,0.03747,0.03177
34,18509.74680,7.66120,13559.23000,-11.16800,128.06300,99.00000,8.88000,8.47881,0.62881,0.62311
35,19675.94960,8.74540,13576.80000,8.68000,166.23400,78.40000,7.70000,7.86168,0.01168,0.00598
36,17974.30290,7.70540,13883.55000,-46.81700,-106.68200,25.90000,8.10000,7.93085,0.08085,0.07515
37,17721.12880,7.33560,13694.36000,22.57500,172.51500,25.90000,9.18000,9.55894,1.70894,1.70324
38,18386.95240,7.77640,13776.60000,-5.08700,-129.94300,67.50000,9.39000,11.36749,3.51749,3.51179
39,18543.92920,8.68320,13579.16000,44.35700,-42.13700,20.30000,9.31000,10.53577,2.68577,2.68007
40,18182.25040,8.08300,13498.05000,28.40500,-157.36600,85.40000,9.39000,11.39084,3.54084,3.53514
41,17891.92280,8.41970,13337.54000,-46.58200,-113.77000,34.50000,9.11000,9.24557,1.39557,1.38987
42,18428.00030,8.30960,13344.57000,-6.13200,108.99500,43.30000,9.43000,11.90665,4.05665,4.05095
43,18006.52160,7.96050,13712.51000,3.97600,119.76800,26.40000,9.04000,8.91252,1.06252,1.05682
44,17862.18720,7.17900,13528.98000,1.93000,61.64300,65.90000,8.90000,8.52327,0.67327,0.66757
45,18257.90780,8.47680,13531.34000,-45.43900,170.60400,37.30000,8.15000,7.94972,0.09972,0.09402
46,17900.12300,7.56470,13534.25000,45.77000,52.72200,43.50000,8.70000,8.23133,0.38133,0.37563
47,18330.42370,7.40370,13765.69000,47.32900,129.15800,49.20000,8.68000,8.15931,0.30931,0.30361
48,18167.62920,7.29400,13699.18000,-42.08000,37.74100,99.70000,8.95000,8.60018,0.75018,0.74448
49,18167.53220,7.27930,13723.30000,-23.53000,-103.90200,87.40000,9.09000,9.14139,1.29139,1.28569
50,18006.93240,7.71980,13518.21000,46.28700,135.20500,42.20000,8.80000,8.31405,0.46405,0.45835
51,18850.92880,7.87780,13829.57000,23.49300,-72.15000,39.40000,9.05000,8.97111,1.12111,1.11541
52,17746.55470,7.34250,14248.45000,55.87500,24.77500,59.50000,7.61000,7.91404,0.06404,0.05834
53,17982.14580,7.41200,14056.97000,19.78900,-135.09000,89.40000,8.95000,8.60232,0.75232,0.74662
54,17584.54220,7.60680,13439.88000,-5.47100,-34.07300,5.10000,8.73000,8.21538,0.36538,0.35968
55,18166.42900,7.55770,14172.29000,-39.80900,78.77500,6.60000,7.59000,7.84028,0.00972,0.00402
56,17983.88910,7.50230,13632.42000,-57.34000,119.86800,87.30000,8.25000,7.93836,0.08836,0.08266
57,17893.32160,7.32850,13767.93000,52.71600,18.77900,87.80000,7.78000,7.91866,0.06866,0.06296
58,18577.59190,7.51340,14199.80000,-15.73300,177.21800,46.10000,9.16000,9.48036,1.63036,1.62466
59,17568.13630,6.90520,13633.10000,30.18500,-165.14000,90.00000,7.74000,7.83379,0.01621,0.01051
60,17990.73740,7.77650,13840.94000,-14.84000,-3.45900,38.90000,7.75000,7.85218,0.00218,0.00352
61,17940.70940,7.61630,13688.21000,21.79200,-62.35600,34.70000,8.04000,7.89598,0.04598,0.04028
62,17983.61350,7.88920,13332.46000,-41.70800,-12.79200,51.20000,7.59000,7.83125,0.01875,0.01305
63,17908.75240,7.90790,13774.77000,32.12900,-18.08000,87.70000,9.07000,9.05086,1.20086,1.19516
64,18277.78740,7.22590,13664.90000,13.79200,3.62700,74.70000,8.90000,8.54415,0.69415,0.68845
65,17933.55900,8.28000,13706.59000,52.78500,-39.55900,85.70000,8.21000,7.94495,0.09495,0.08925
66,18615.69350,8.23990,13508.10000,52.24900,132.11100,33.80000,8.38000,7.95329,0.10329,0.09759
67,18751.65890,8.06970,14022.57000,-51.16300,-47.35200,66.90000,9.45000,12.28790,4.43790,4.43220
68,18389.48150,7.54920,14169.04000,-37.79200,7.71400,80.40000,7.75000,7.83146,0.01854,0.01284
69,18395.62750,7.91910,13420.11000,19.34300,-147.61800,7.50000,9.22000,9.84112,1.99112,1.98542
70,18737.00500,7.67400,13481.52000,-50.97200,147.73100,82.30000,8.87000,8.47718,0.62718,0.62148
71,18070.59250,8.15220,13763.52000,47.78600,94.08400,38.20000,9.23000,9.92865,2.07865,2.07295
72,17903.13120,7.60590,13203.69000,-44.36300,-155.70500,77.30000,8.88000,8.51955,0.66955,0.66385
73,18083.32060,7.27190,13448.17000,-30.00400,-160.55800,87.60000,8.60000,8.13133,0.28133,0.27563
74,17665.61650,7.42310,13906.16000,-36.60000,139.35800,55.60000,9.25000,10.10439,2.25439,2.24869
75,18076.24790,7.51260,13526.50000,46.99100,-164.89800,49.90000,8.64000,8.08927,0.23927,0.23357
76,17892.78010,8.04990,13789.93000,-55.75000,47.03700,35.10000,8.33000,7.91448,0.06448,0.05878
77,17748.54770,7.40890,13619.78000,48.02600,93.20100,87.70000,9.44000,12.09205,4.24205,4.23635
78,18495.68700,7.77470,13360.88000,0.08200,133.81400,53.50000,9.21000,9.75889,1.90889,1.90319
79,18023.83040,8.21720,13336.66000,7.03400,96.20600,44.30000,8.04000,7.89861,0.04861,0.04291
80,18388.16250,7.69090,13954.41000,-17.12700,-133.18400,53.20000,9.38000,11.30374,3.45374,3.44804
81,18497.18030,7.90920,13354.00000,-34.15900,162.70500,85.20000,7.78000,7.90786,0.05786,0.05216
82,18322.97450,9.00510,14422.24000,47.03300,-143.71900,95.50000,9.17000,9.50206,1.65206,1.64636
83,18815.13600,8.10990,13648.45000,50.51100,-54.89800,23.20000,7.71000,7.87799,0.02799,0.02229
84,18689.87150,8.33960,13243.05000,-17.19100,-26.40800,7.10000,8.05000,7.87971,0.02971,0.02401
85,17944.02200,7.89150,13672.06000,34.28600,8.22200,46.20000,7.51000,7.90808,0.05808,0.05238
86,17875.79190,7.71970,13525.21000,30.73000,-171.53100,45.80000,8.97000,8.64901,0.79901,0.79331
87,17644.13130,7.16460,13911.80000,21.95900,-28.34700,47.90000,7.70000,7.89314,0.04314,0.03744
88,19078.59280,8.18680,13875.32000,-44.59100,62.75200,84.50000,8.99000,8.73211,0.88211,0.87641
89,19176.04340,7.79720,13520.76000,-5.31400,149.76400,86.50000,8.57000,8.07303,0.22303,0.21733
90,18750.49570,8.42920,13672.89000,-36.19000,-88.76200,44.90000,8.95000,8.65794,0.80794,0.80224
91,18581.17550,8.28000,13734.75000,-29.06800,63.40200,86.10000,9.01000,8.79450,0.94450,0.93880
92,18606.37280,7.69610,14040.03000,-0.35300,117.76200,91.60000,7.57000,7.87085,0.02085,0.01515
93,17569.89880,7.41770,14161.31000,-5.81600,-149.74200,26.00000,8.31000,7.95308,0.10308,0.09738
94,18234.85950,7.42340,13535.80000,23.31900,22.15100,5.80000,8.18000,7.94547,0.09547,0.08977
95,18957.68410,7.62840,12835.28000,2.25000,49.58100,21.30000,9.23000,9.90333,2.05333,2.04763
96,19033.92490,7.74250,13124.79000,29.89100,76.19600,52.30000,7.66000,7.89341,0.04341,0.03771
97,18400.90650,7.96870,13741.36000,-20.93100,-124.57200,9.10000,8.53000,8.06888,0.21888,0.21318
98,17505.61300,7.44260,13754.60000,20.50100,-151.45200,23.90000,7.65000,7.84083,0.00917,0.00347
99,17584.91150,7.25450,13543.58000,-32.89200,-35.59800,45.70000,9.36000,11.04306,3.19306,3.18736
100,18566.34910,8.28160,14016.10000,53.94700,135.45100,48.70000,8.44000,7.97893,0.12893,0.12323
101,18236.62270,7.55350,13524.04000,-58.86700,-140.21300,20.80000,8.37000,8.00360,0.15360,0.14790
102,18640.98590,8.10180,13453.97000,19.60200,70.44100,74.90000,9.23000,9.89523,2.04523,2.03953
103,18169.50930,8.20380,13818.01000,-26.52700,-52.49300,79.80000,7.74000,7.86731,0.01731,0.01161
104,18597.59720,8.16230,14324.70000,47.24700,171.27200,80.20000,8.12000,7.86809,0.01809,0.01239
105,18711.90770,8.51770,13523.01000,-57.69000,-5.61400,36.60000,7.53000,7.83041,0.01959,0.01389
106,19065.27280,7.86110,13812.44000,-34.32400,-2.52500,8.10000,7.58000,7.82624,0.02376,0.01806
107,18118.82080,7.89790,14067.44000,-14.04000,105.77300,99.70000,8.90000,8.51651,0.66651,0.66081
108,18330.95850,7.77400,13346.52000,-33.47400,-39.20400,30.10000,8.62000,8.09511,0.24511,0.23941
109,19388.45520,8.54420,13860.18000,38.89500,87.46500,44.50000,8.45000,8.02030,0.17030,0.16460
110,18521.46570,7.91380,13961.48000,0.83700,-15.18400,79.80000,8.56000,8.06585,0.21585,0.21015
111,18926.43570,8.36070,13932.27000,-28.99300,25.46700,57.60000,9.35000,10.94682,3.09682,3.09112
112,18136.83880,7.62130,13538.41000,-20.66800,55.17000,33.80000,8.37000,7.93712,0.08712,0.08142
113,18408.24860,8.24110,13174.37000,-28.21200,37.66200,74.60000,8.93000,8.55374,0.70374,0.69804
114,18394.71110,7.94800,13122.72000,-8.62000,159.36800,11.30000,9.43000,11.89098,4.04098,4.03528
115,19044.91680,8.69870,13980.70000,-25.32700,154.38200,28.00000,8.28000,7.96066,0.11066,0.10496
116,17937.69670,7.94090,13699.92000,-38.44000,52.55400,49.20000,9.41000,11.67754,3.82754,3.82184
117,18623.96820,8.26420,13667.48000,6.06300,-67.33100,80.70000,9.40000,11.50061,3.65061,3.64491
118,18726.59940,7.89110,13476.77000,35.27700,74.76900,71.00000,9.45000,12.23172,4.38172,4.37602
119,17504.83160,7.38600,13540.83000,44.89500,29.19200,65.00000,9.41000,11.75801,3.90801,3.90231
120,17803.33840,7.07950,13663.50000,-47.62900,40.45800,83.50000,7.89000,7.83662,0.01338,0.00768
121,17972.73340,7.57000,13731.57000,18.53200,-0.12100,56.80000,9.01000,8.84243,0.99243,0.98673
122,17410.67430,7.84100,13331.80000,42.97100,-141.35500,19.80000,9.11000,9.18991,1.33991,1.33421
123,18893.47240,8.23110,14085.40000,18.07900,85.88400,17.20000,7.64000,7.88092,0.03092,0.02522
124,18192.00770,7.38420,14033.22000,-7.78900,-167.78700,46.80000,9.41000,11.74486,3.89486,3.88916
125,18179.55240,7.58340,13379.32000,42.86800,175.36300,42.60000,9.24000,9.96516,2.11516,2.10946
126,17850.08830,7.79580,13646.74000,-11.69500,-165.48300,17.20000,8.39000,7.98977,0.13977,0.13407
127,18111.77330,8.75870,13435.17000,-34.99100,127.07000,78.60000,8.53000,8.05345,0.20345,0.19775
128,17608.80880,7.66090,13885.35000,-14.89400,29.14800,95.00000,9.37000,11.20643,3.35643,3.35073
129,18031.72670,7.90690,13615.88000,0.85600,-68.26700,60.90000,9.05000,8.96342,1.11342,1.10772
130,19006.95020,8.70120,13753.95000,30.59100,-54.07600,68.50000,7.85000,7.88675,0.03675,0.03105
131,17994.40630,7.76640,13481.20000,26.79100,-72.08900,75.10000,8.77000,8.27185,0.42185,0.41615
132,17751.87730,8.24580,13150.39000,42.89700,-52.32800,18.80000,7.54000,7.87514,0.02514,0.01944
133,18122.75070,7.66100,13843.19000,-12.74100,-58.86400,80.10000,8.62000,8.10399,0.25399,0.24829
134,18459.83030,8.42100,13676.27000,-5.89200,-176.70000,58.90000,7.87000,7.89120,0.04120,0.03550
135,18143.18880,8.23830,13598.09000,18.89400,17.20200,59.50000,7.54000,7.89499,0.04499,0.03929
136,18530.71370,8.35830,13565.36000,6.93800,-83.73800,14.00000,9.35000,10.95456,3.10456,3.09886
137,18360.36400,8.22160,13752.54000,-3.48900,100.90400,31.60000,8.41000,7.97927,0.12927,0.12357
138,18221.12010,7.68400,13655.93000,3.59300,-168.60200,83.40000,8.09000,7.89773,0.04773,0.04203
139,18116.77710,7.83810,13611.78000,36.46500,174.26500,55.70000,8.10000,7.86616,0.01616,0.01046
140,18991.14260,8.27020,14295.14000,-18.13200,143.87700,35.00000,8.50000,8.04007,0.19007,0.18437
141,18690.83140,8.09560,14094.90000,9.57800,-104.83500,63.60000,8.65000,8.13127,0.28127,0.27557
142,17964.65930,7.02650,13722.50000,-35.33700,-18.05800,81.10000,7.76000,7.84450,0.00550,0.00020
143,17497.96730,7.27300,13545.07000,-7.04700,-133.46600,25.10000,9.00000,8.78689,0.93689,0.93119
144,18232.62190,7.83930,13798.67000,-22.18700,-122.71200,28.80000,9.03000,8.90684,1.05684,1.05114
145,17972.23070,8.05800,13513.62000,-13.11300,-26.52200,77.50000,7.85000,7.86553,0.01553,0.00983
146,17656.60350,7.48830,13534.40000,-38.03200,164.51800,100.00000,8.03000,7.92862,0.07862,0.07292
147,17909.36610,7.68860,14363.99000,28.07800,-133.57200,12.00000,7.98000,7.85328,0.00328,0.00242
148,17284.71560,6.68070,13550.03000,18.60500,134.87900,21.60000,7.93000,7.87272,0.02272,0.01702
149,17792.91340,8.21370,14175.38000,-11.68800,81.86200,7.70000,8.65000,8.12477,0.27477,0.26907
150,18272.80050,7.77600,14193.47000,20.15300,67.15500,38.40000,8.93000,8.59996,0.74996,0.74426
151,17930.43520,7.64590,13624.76000,27.24600,173.67900,56.90000,7.91000,7.85053,0.00053,0.00517
152,18192.37350,8.17090,13792.58000,27.34000,138.30500,71.50000,8.73000,8.21152,0.36152,0.35582
153,18267.50980,8.00850,14261.03000,30.95500,-177.42200,43.60000,8.77000,8.24636,0.39636,0.39066
154,17013.11450,6.69640,13681.34000,17.44900,165.14700,19.60000,8.86000,8.41128,0.56128,0.55558
155,18269.87650,8.12110,13477.00000,41.17200,65.86300,23.10000,7.87000,7.91485,0.06485,0.05915
156,18275.15450,7.66950,13777.82000,-22.70200,21.68100,48.60000,7.72000,7.84191,0.00809,0.00239
157,17658.25060,7.06130,13731.45000,17.44900,48.38700,95.60000,8.14000,7.93538,0.08538,0.07968
158,18732.84940,7.75170,14200.46000,-14.67400,-66.72600,16.60000,8.29000,7.93864,0.08864,0.08294
159,18623.55240,7.91360,13945.92000,-8.40900,140.03000,82.60000,8.30000,7.95027,0.10027,0.09457
160,17851.70560,7.98600,13717.60000,42.17200,73.53100,82.50000,9.42000,11.89667,4.04667,4.04097
161,18901.18780,8.25870,13917.37000,10.60600,-78.98700,69.20000,9.40000,11.48047,3.63047,3.62477
162,18128.61460,7.99440,13687.75000,-2.58300,35.24700,42.90000,8.18000,7.91336,0.06336,0.05766
163,18726.65120,7.93830,13919.59000,-15.32000,-97.85400,11.30000,8.34000,7.96574,0.11574,0.11004
164,18395.51200,8.04780,13692.83000,-25.79400,-29.81900,84.80000,9.19000,9.59864,1.74864,1.74294
165,18119.05400,8.10340,14307.09000,-2.26000,-0.08600,15.50000,7.90000,7.87634,0.02634,0.02064
166,18176.54120,8.40240,13864.21000,-52.10200,-110.17200,36.10000,8.21000,7.95074,0.10074,0.09504
167,19029.81580,7.90840,13467.07000,-55.52500,-106.55500,67.50000,8.88000,8.49996,0.64996,0.64426
168,18788.98040,8.13850,13957.80000,35.43100,83.01200,42.70000,9.23000,9.95338,2.10338,2.09768
169,17931.24500,7.90940,13652.42000,-36.72900,136.60500,79.80000,8.47000,8.02659,0.17659,0.17089
170,19040.84260,8.39010,13640.31000,2.15300,-54.38100,86.80000,7.88000,7.88062,0.03062,0.02492
171,18680.26420,8.10010,13604.13000,-21.77500,-24.58300,10.90000,7.77000,7.85156,0.00156,0.00414
172,18336.01020,8.16000,13916.48000,0.16700,-117.98400,31.50000,8.88000,8.46108,0.61108,0.60538
173,18113.20060,8.13320,13604.22000,51.44800,0.87200,10.80000,7.98000,7.92737,0.07737,0.07167
174,17491.77500,7.57510,13583.35000,7.28100,-91.73400,75.30000,8.37000,7.95881,0.10881,0.10311
175,17703.34260,7.46960,13682.96000,-12.72400,-169.11700,14.80000,9.00000,8.80413,0.95413,0.94843
176,18312.81160,8.17800,13799.24000,-33.71900,9.81100,96.40000,8.82000,8.32106,0.47106,0.46536
177,17140.88070,6.90990,13299.70000,18.06300,-145.83800,64.10000,8.95000,8.60625,0.75625,0.75055
178,17599.47220,7.79280,13662.42000,2.64500,148.65300,49.90000,8.36000,7.96185,0.11185,0.10615
179,18403.52780,8.37780,14198.16000,23.60000,-4.71700,79.60000,9.22000,9.87821,2.02821,2.02251
180,18041.97360,7.21120,14217.09000,-55.42000,19.91400,93.80000,8.15000,7.87100,0.02100,0.01530
181,18175.82570,7.85910,13633.59000,-31.14000,-89.27700,11.50000,7.64000,7.88397,0.03397,0.02827
182,18182.48940,7.58830,13441.73000,32.35400,-138.90800,84.30000,9.43000,11.88867,4.03867,4.03297
183,18365.37330,8.25600,13773.84000,15.45900,15.63100,89.40000,8.52000,8.05839,0.20839,0.20269
184,17764.49120,7.19370,14226.37000,-48.46700,-3.23600,50.40000,9.21000,9.70004,1.85004,1.84434
185,18883.53140,7.62700,13662.63000,-34.21600,159.02800,13.00000,8.64000,8.15926,0.30926,0.30356
186,18164.86210,7.57610,13415.68000,14.83800,-174.25400,51.10000,8.04000,7.87313,0.02313,0.01743
187,17861.73770,7.61530,13973.28000,-46.22200,0.37300,60.80000,9.13000,9.28921,1.43921,1.43351
188,18467.28030,8.24770,13523.85000,-4.23300,-125.81300,36.20000,8.87000,8.45393,0.60393,0.59823
189,18187.18450,7.81090,13631.86000,-21.26300,23.80100,87.70000,9.18000,9.55259,1.70259,1.69689
190,18424.23100,7.66930,13783.47000,52.29200,25.46300,15.70000,9.44000,12.06561,4.21561,4.20991
191,18725.04010,8.05680,14257.61000,19.29700,-171.27400,5.30000,8.14000,7.87798,0.02798,0.02228
192,18235.98320,8.18550,14001.32000,31.81100,-17.87000,10.10000,8.27000,7.96744,0.11744,0.11174
193,18440.67190,8.00070,13750.98000,7.96500,-157.34000,52.40000,7.68000,7.85717,0.00717,0.00147
194,17830.20600,7.99100,13477.23000,36.78800,30.30600,51.10000,7.95000,7.93216,0.08216,0.07646
195,17676.49980,7.71500,13292.04000,-18.88000,128.59600,5.30000,9.03000,8.88124,1.03124,1.02554
196,17989.43680,7.82320,13511.71000,19.40000,-123.31800,5.70000,7.93000,7.85784,0.00784,0.00214
197,18864.29520,8.04550,14184.14000,-36.31800,-83.69100,84.80000,8.07000,7.91244,0.06244,0.05674
198,18386.07430,7.94590,13330.55000,-31.11300,45.11700,59.20000,8.75000,8.21694,0.36694,0.36124
199,19362.45180,8.41020,13420.01000,40.83300,87.34200,21.30000,9.07000,9.08034,1.23034,1.22464
200,18670.07600,7.73160,13235.81000,-56.19500,80.30000,53.20000,9.33000,10.73122,2.88122,2.87552
201,18746.80530,8.71540,13447.70000,29.48200,1.32200,83.90000,8.06000,7.93370,0.08370,0.07800
202,18411.65060,7.77410,13787.81000,-10.49200,33.52100,60.20000,7.75000,7.85786,0.00786,0.00216
203,17823.60310,7.64850,13727.50000,53.08900,-127.19000,75.00000,8.81000,8.30286,0.45286,0.44716
204,18187.12030,7.81470,13853.36000,59.01400,119.20500,71.00000,8.88000,8.46809,0.61809,0.61239
205,18210.56340,8.06400,13488.98000,59.75800,-54.51600,85.00000,7.80000,7.88420,0.03420,0.02850
206,17896.18240,7.64940,13884.55000,50.27000,127.56800,25.30000,9.13000,9.31812,1.46812,1.46242
207,19589.44220,8.69820,13867.52000,-40.34000,10.03800,55.10000,8.08000,7.85847,0.00847,0.00277
208,18561.74580,8.14280,14110.51000,-7.77800,-149.86300,57.70000,7.71000,7.88324,0.03324,0.02754
209,18917.38840,8.33720,14348.18000,-17.69200,81.07900,51.00000,7.59000,7.85618,0.00618,0.00048
210,18651.76380,8.06360,14053.49000,2.56800,45.58500,99.30000,8.25000,7.93388,0.08388,0.07818
211,18220.75690,7.73870,14013.79000,-16.93300,-123.29100,96.90000,7.72000,7.89701,0.04701,0.04131
212,17795.93700,7.22850,13637.55000,0.90600,-149.61600,45.50000,8.33000,7.95205,0.10205,0.09635
213,18747.71000,8.22200,14213.20000,-44.45300,27.31100,93.90000,8.92000,8.52576,0.67576,0.67006
214,18026.87570,8.27920,14089.44000,-44.41700,-109.68300,60.90000,9.33000,10.78858,2.93858,2.93288
215,17770.17900,7.61700,14184.19000,13.24700,-52.76300,52.50000,7.59000,7.87534,0.02534,0.01964
216,18606.89260,7.88290,13965.30000,-8.39700,56.47600,88.40000,8.03000,7.88358,0.03358,0.02788
217,18491.09380,8.19890,13962.24000,25.63100,-60.45200,90.50000,8.17000,7.91815,0.06815,0.06245
218,19407.16280,7.64000,13620.63000,35.27500,134.53000,9.50000,8.18000,7.89888,0.04888,0.04318
219,18454.50420,8.21240,13710.18000,42.45600,-13.94800,8.30000,7.67000,7.90336,0.05336,0.04766
220,18962.85880,8.10150,13329.41000,-8.82600,25.67300,73.20000,8.66000,8.13208,0.28208,0.27638
221,18272.58970,7.77020,13445.56000,-20.56800,46.59600,53.70000,8.26000,7.90777,0.05777,0.05207
222,18700.52420,8.18130,14111.38000,-49.53400,-71.00600,61.50000,8.20000,7.92636,0.07636,0.07066
223,18152.30510,7.75110,14041.60000,-20.81500,57.74900,20.20000,8.04000,7.87064,0.02064,0.01494
224,17293.56130,7.28940,14012.72000,-45.04300,134.01600,29.20000,9.30000,10.47190,2.62190,2.61620
225,18361.49380,7.37670,13735.69000,52.03000,50.87600,51.50000,8.22000,7.96503,0.11503,0.10933
226,18937.61160,8.39780,14189.12000,52.70300,-67.85800,43.10000,9.46000,12.39344,4.54344,4.53774
227,17666.65920,7.71580,13842.26000,-23.95400,29.18800,72.50000,8.61000,8.07086,0.22086,0.21516
228,18142.47660,8.16980,14121.23000,-2.81700,33.70000,66.40000,8.87000,8.45501,0.60501,0.59931
229,18712.84650,8.85350,13225.19000,-11.51000,-36.91900,10.30000,8.59000,8.07620,0.22620,0.22050
230,18495.54300,7.81650,13680.41000,44.11400,85.84100,96.60000,8.56000,8.08542,0.23542,0.22972
231,18617.96410,7.99910,13576.87000,12.47500,90.86100,14.90000,8.83000,8.37177,0.52177,0.51607
232,19403.06520,8.51240,13812.26000,-29.64400,140.64100,87.90000,9.11000,9.23869,1.38869,1.38299
233,18212.85710,8.09880,14043.71000,4.87300,-113.65300,38.70000,8.99000,8.73666,0.88666,0.88096
234,18537.21750,8.13790,14073.22000,-35.24200,-86.32200,78.00000,8.92000,8.58387,0.73387,0.72817
235,18393.07940,7.99930,13385.38000,43.05900,42.77200,43.60000,7.54000,7.91067,0.06067,0.05497
236,17540.24030,7.15760,13621.17000,-54.60700,-157.10000,25.20000,8.46000,8.04565,0.19565,0.18995
237,18271.35190,7.50190,13869.70000,-35.39900,104.07300,74.40000,8.35000,7.95295,0.10295,0.09725
238,17787.17520,7.84500,14053.44000,-41.43100,62.06500,25.60000,8.27000,7.89956,0.04956,0.04386
239,18877.29940,7.75050,13515.01000,50.58900,-8.63000,85.30000,9.30000,10.48946,2.63946,2.63376
240,17951.56960,7.64350,13728.46000,19.91200,-50.24400,99.10000,8.80000,8.34233,0.49233,0.48663
241,18174.46300,7.88100,13865.95000,10.87600,175.96100,74.60000,7.85000,7.86431,0.01431,0.00861
242,17471.49020,7.69060,13328.29000,-3.27900,143.07200,61.80000,7.94000,7.88746,0.03746,0.03176
243,18271.90810,8.16700,13951.09000,57.09900,107.00000,56.00000,7.95000,7.89116,0.04116,0.03546
244,18468.33180,7.93430,13533.96000,55.60300,-96.46700,64.70000,9.46000,12.33707,4.48707,4.48137
245,18568.26780,7.66270,13927.33000,33.18100,25.73700,29.00000,9.49000,12.87164,5.02164,5.01594
246,17804.41150,8.31820,13673.89000,36.00500,133.98800,55.40000,9.09000,9.11790,1.26790,1.26220
247,17942.71900,7.86250,14030.55000,35.56100,131.08900,97.60000,9.42000,11.76954,3.91954,3.91384
248,19114.27770,8.56660,13818.31000,12.07000,-11.67100,48.30000,8.32000,7.96362,0.11362,0.10792
249,18303.64510,8.21070,13756.36000,-6.29400,-92.57900,52.00000,7.90000,7.88621,0.03621,0.03051
250,17084.17490,6.95090,13791.90000,-11.34700,-52.69700,39.50000,7.91000,7.87698,0.02698,0.02128
251,18030.97120,8.22210,13500.36000,58.35200,117.39500,86.80000,7.73000,7.87312,0.02312,0.01742
252,17656.43040,7.42280,13568.60000,24.54100,-113.02200,21.50000,8.96000,8.63012,0.78012,0.77442
